age,sex,city,education_status,sds,relation,relatives
36,1.0,1,0,"[0, 1, 0]",0.0,0
31,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
31,2.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,2,2,"[0, 0, 0]",0.0,0
36,2.0,2,3,"[0, 0, 0]",4.0,2
0,2.0,2,3,"[1, 0, 0]",1.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
29,1.0,2,0,"[0, 0, 0]",0.0,0
30,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
36,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",4.0,1
31,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
36,1.0,2,0,"[0, 0, 0]",4.0,1
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,2,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
30,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
30,1.0,1,3,"[0, 1, 0]",0.0,0
29,1.0,2,0,"[0, 1, 0]",4.0,2
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",0.0,0
31,2.0,2,0,"[0, 1, 0]",0.0,2
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
36,2.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,1,"[1, 1, 0]",1.0,1
33,1.0,1,0,"[0, 0, 0]",4.0,0
35,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
